source_file,source_name,tokens,sentences,truth,coherence,fruit,anti_fruit,grounding,contradiction,propaganda,snr,assertion_ratio,contradiction_pressure,coherence_density,cronkite_delta,sigma_state,archetype,role,kill_conditions,christ_vector_alignment,christ_vector_label,dominant_fruit,weakest_fruit,semantic_backend,semantic_ontology,semantic_fruit_alignment,semantic_anti_alignment,semantic_net_alignment,semantic_dominant_anchor,semantic_dominant_anti_anchor,excel_path
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-05a-trinity-mechanism.html,gtq-05a-trinity-mechanism.html,2358,253,0.2187,0.4883,0.0145,0.0119,0.0685,0.0237,0.2901,16.0607,3.1923,0.1084,0.000207,-0.2216,0.5331,Instructional / Explanatory,Informational,None flagged,0.9984,0.998 (HIGH ALIGNMENT),love,patience,sentence-transformers,explicit coherence ontology,0.1198,0.1056,0.0142,peace,fragmentation,
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-05b-trinity-timeline.html,gtq-05b-trinity-timeline.html,2211,224,0.2281,0.4951,0.0179,0.0119,0.0833,0.0134,0.2836,23.5708,2.7371,0.0587,0.000224,-0.2003,0.5651,Instructional / Explanatory,Informational,None flagged,0.9978,0.998 (HIGH ALIGNMENT),love,patience,sentence-transformers,explicit coherence ontology,0.1368,0.12,0.0168,peace,fragmentation,
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-05c-why-physics-is-broken-in-two.html,gtq-05c-why-physics-is-broken-in-two.html,2297,232,0.2281,0.4947,0.0187,0.0086,0.0848,0.0216,0.2832,19.8222,2.6903,0.0945,0.000215,-0.1984,0.5579,Instructional / Explanatory,Informational,None flagged,0.996,0.996 (HIGH ALIGNMENT),love,patience,sentence-transformers,explicit coherence ontology,0.1028,0.095,0.0078,peace,fragmentation,
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-06-why-reality-needs-three.html,gtq-06-why-reality-needs-three.html,3316,363,0.2198,0.4905,0.0129,0.0037,0.0661,0.022,0.2864,22.1488,3.3237,0.1003,0.000148,-0.2203,0.5346,Instructional / Explanatory,Informational,None flagged,0.9974,0.997 (HIGH ALIGNMENT),love,patience,sentence-transformers,explicit coherence ontology,0.1113,0.0952,0.0161,peace,fragmentation,
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-07-the-photon-isnt-watching.html,gtq-07-the-photon-isnt-watching.html,622,65,0.2387,0.4827,0.0205,0.0103,0.1333,0.0154,0.2682,24.825,1.79,0.0645,0.000775,-0.1349,0.6007,Evidence-Anchored,Informational,None flagged,0.9932,0.993 (HIGH ALIGNMENT),love,joy,sentence-transformers,explicit coherence ontology,0.1475,0.1652,-0.0178,peace,certainty_inflation,
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-07a-empirical-testing.html,gtq-07a-empirical-testing.html,4077,450,0.2443,0.4873,0.0363,0.0052,0.1296,0.02,0.2677,25.9349,1.8843,0.0819,0.000119,-0.1381,0.5969,Evidence-Anchored,Informational,None flagged,0.9994,0.999 (HIGH ALIGNMENT),love,gentleness,sentence-transformers,explicit coherence ontology,0.1212,0.1016,0.0197,faithfulness,fragmentation,
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-08-god-doesnt-need-a-clock.html,gtq-08-god-doesnt-need-a-clock.html,14930,1592,0.2177,0.4899,0.0251,0.0096,0.0528,0.028,0.2946,15.1082,4.1249,0.1284,3.3e-05,-0.2418,0.5148,Instructional / Explanatory,Informational,None flagged,0.9979,0.998 (HIGH ALIGNMENT),love,patience,sentence-transformers,explicit coherence ontology,0.1333,0.1185,0.0148,peace,fragmentation,
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-08a-the-temporal-trap.html,gtq-08a-the-temporal-trap.html,1470,163,0.2146,0.4923,0.0164,0.0286,0.0593,0.0337,0.3033,9.1064,3.6186,0.1572,0.000335,-0.244,0.5179,Instructional / Explanatory,Informational,None flagged,0.9993,0.999 (HIGH ALIGNMENT),love,patience,sentence-transformers,explicit coherence ontology,0.1244,0.1266,-0.0022,peace,fragmentation,
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-08b-how-god-restores.html,gtq-08b-how-god-restores.html,2901,317,0.2162,0.4827,0.0398,0.0021,0.0358,0.0187,0.2941,26.8509,6.0463,0.0864,0.000166,-0.2583,0.4997,Mixed,Mixed,Over-assertion,0.984,0.984 (HIGH ALIGNMENT),love,patience,sentence-transformers,explicit coherence ontology,0.1439,0.1202,0.0237,joy,fragmentation,
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-08c-science-behind-restoration.html,gtq-08c-science-behind-restoration.html,2916,306,0.2311,0.4946,0.0458,0.0076,0.0686,0.0245,0.2881,18.9492,3.3667,0.1061,0.00017,-0.2195,0.5387,Instructional / Explanatory,Informational,None flagged,0.9991,0.999 (HIGH ALIGNMENT),joy,self_control,sentence-transformers,explicit coherence ontology,0.1554,0.1287,0.0267,joy,fragmentation,
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-09-same-god-both-testaments.html,gtq-09-same-god-both-testaments.html,8241,718,0.2269,0.5036,0.0478,0.0162,0.0492,0.0369,0.3007,11.2988,4.6102,0.1627,6.1e-05,-0.2515,0.5159,Mixed,Mixed,None flagged,0.9956,0.996 (HIGH ALIGNMENT),love,patience,sentence-transformers,explicit coherence ontology,0.1278,0.1159,0.0118,goodness,fragmentation,
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-09a-regime-dependent-theology.html,gtq-09a-regime-dependent-theology.html,2441,250,0.2044,0.4903,0.0147,0.0173,0.0427,0.08,0.3119,5.6265,4.79,0.3914,0.000201,-0.2692,0.453,Mixed,Mixed,None flagged,0.999,0.999 (HIGH ALIGNMENT),love,patience,sentence-transformers,explicit coherence ontology,0.137,0.135,0.0019,goodness,fragmentation,
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-09b-civilizational-decay.html,gtq-09b-civilizational-decay.html,3482,220,0.2458,0.5341,0.0621,0.0242,0.0606,0.0364,0.3012,10.8368,4.0562,0.1479,0.000153,-0.2406,0.5583,Instructional / Explanatory,Informational,None flagged,0.9993,0.999 (HIGH ALIGNMENT),love,patience,sentence-transformers,explicit coherence ontology,0.1595,0.1562,0.0033,goodness,domination,
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-10-the-counter-move.html,gtq-10-the-counter-move.html,8467,787,0.2315,0.4936,0.0263,0.0047,0.0902,0.026,0.2805,19.8679,2.5663,0.1125,5.8e-05,-0.1903,0.5578,Instructional / Explanatory,Informational,None flagged,0.9989,0.999 (HIGH ALIGNMENT),love,patience,sentence-transformers,explicit coherence ontology,0.1063,0.1032,0.0031,goodness,fragmentation,
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-10a-why-the-pattern-is-the-signal.html,gtq-10a-why-the-pattern-is-the-signal.html,2594,221,0.2508,0.5111,0.0121,0.006,0.1493,0.0339,0.265,16.8241,1.6796,0.1353,0.000197,-0.1157,0.6265,Evidence-Anchored,Informational,None flagged,0.9992,0.999 (HIGH ALIGNMENT),love,patience,sentence-transformers,explicit coherence ontology,0.078,0.099,-0.021,faithfulness,certainty_inflation,
